,SECID,SECNAME,SHORTNAME,COUPONVALUE,COUPONPERCENT,MATDATE,NEXTCOUPON,STATUS,FACEVALUE,DELTA
573,RU000A1008J4,АФК Система БО 001P-10,Систем1P10,49.36,9.9,2029-03-23,2023-03-31,A,1000.0,6 years 3 months
1594,RU000A103YP6,СГ-транс 001P-01,СГтранс1Р1,24.68,9.9,2026-10-26,2023-01-30,A,1000.0,3 years 10 months
582,RU000A1009Z8,"""О'КЕЙ"" ООО БО 001Р-02",О'КЕЙ Б1Р2,24.68,9.9,2029-04-06,2023-01-13,A,1000.0,6 years 3 months
1529,RU000A103RY2,Интерлизинг 001Р-02,ИнтЛиз1Р02,24.68,9.9,2024-09-24,2022-12-27,A,1000.0,1 years 9 months
1622,RU000A1043Z7,Биннофарм Групп 001Р-01,БинФарм1P1,24.68,9.9,2036-11-05,2023-02-22,A,1000.0,13 years 10 months
267,RU000A0JX1C5,КАМАЗ ПАО БО-14,КАМАЗ БО14,49.46,9.92,2031-11-24,2023-06-05,A,1000.0,8 years 11 months
1912,RU000A105LY0,СОПФ Инфраструктурные обл 4,ИнфрОблP4,39.53,9.95,2026-11-15,2023-05-15,A,1000.0,3 years 10 months
788,RU000A101EW8,РОСНАНО АО БО-002P-02,РОСНАН2P2,24.81,9.95,2025-11-10,2023-02-13,A,1000.0,2 years 10 months
1326,RU000A102Y66,ЛЕГЕНДА БО 001P-04,ЛЕГЕНДА1P4,24.81,9.95,2025-04-08,2023-01-10,A,1000.0,2 years 3 months
1855,RU000A105C28,ГруппаЧеркизово БО-001Р-05,ЧеркизБ1P5,24.81,9.95,2025-10-23,2023-01-26,A,1000.0,2 years 10 months
1642,RU000A104693,АФК Система БО 001P-23,Систем1P23,24.81,9.95,2031-11-21,2023-03-03,A,1000.0,8 years 11 months
1817,RU000A1057Q6,Банк ВТБ (ПАО) Б-1-315,ВТБ Б1-315,24.93,10.0,2025-11-04,2023-02-07,A,1000.0,2 years 10 months
1739,RU000A104VD6,СФО Спутник Фин 01,СФО СФ 01,99.73,10.0,2027-07-13,2023-07-18,A,1000.0,4 years 6 months
1734,RU000A104UX6,Банк ВТБ (ПАО) Б-1-131,ВТБ Б1-131,8.49,10.0,2023-06-06,2023-01-06,A,1000.0,5 months
1908,RU000A105L27,АФК Система БО 001Р-24,Систем1P24,24.93,10.0,2032-11-24,2023-03-08,A,1000.0,9 years 11 months
